coords,reward
"(114.0152225, 22.54178126)",2.831085681915283
"(114.0156159, 22.71523458)",2.4819538593292236
"(114.0172972, 22.53973493)",2.946063280105591
"(114.0177962, 22.65813706)",1.9426478147506714
"(114.0191581, 22.70979537)",2.402479887008667
"(114.0196606, 22.67939899)",2.7605390548706055
"(114.0196737, 22.53584398)",2.9046013355255127
"(114.0211747, 22.53290247)",3.014331340789795
"(114.0217604, 22.54041173)",3.041928291320801
"(114.0217876, 22.63359962)",2.585965871810913
"(114.0222383, 22.66002478)",2.264467477798462
"(114.0224686, 22.62320619)",2.352393388748169
"(114.022621, 22.61387692)",3.331291675567627
"(114.0227316, 22.61054866)",2.5746309757232666
"(114.0240834, 22.53816394)",3.0127711296081543
"(114.0248884, 22.53279072)",2.5203309059143066
"(114.026536, 22.68663879)",2.2951033115386963
"(114.0266018, 22.55981714)",2.8228516578674316
"(114.026909, 22.5599943)",2.8150088787078857
"(114.0269337, 22.72900138)",2.7133986949920654
"(114.0271428, 22.66031449)",1.9450608491897583
"(114.0276358, 22.61077502)",2.5918099880218506
"(114.0291938, 22.6364176)",2.464000940322876
"(114.0294882, 22.6692569)",2.9425363540649414
"(114.0302852, 22.66413469)",1.9378137588500977
"(114.0304343, 22.67274015)",2.831566095352173
"(114.0314727, 22.63714576)",2.3373563289642334
"(114.0317088, 22.56856529)",2.3939695358276367
"(114.0317806, 22.65763881)",1.983162760734558
"(114.0325766, 22.6123815)",2.5356850624084473
"(114.0338301, 22.62154859)",2.007575273513794
"(114.0338878, 22.73632377)",3.1082003116607666
"(114.0339463, 22.62156879)",2.0018763542175293
"(114.0347085, 22.62274715)",2.047685146331787
"(114.0349265, 22.62162272)",2.064115524291992
"(114.0349844, 22.67008987)",2.351445198059082
"(114.0355503, 22.62157138)",2.0589354038238525
"(114.036094, 22.59893691)",2.4925804138183594
"(114.0363092, 22.67903137)",2.5708940029144287
"(114.0363543, 22.62261513)",2.24845814704895
"(114.0366516, 22.62371269)",2.279510498046875
"(114.0372277, 22.63537502)",1.9048206806182861
"(114.0376982, 22.52254873)",1.7958018779754639
"(114.0390005, 22.69092237)",1.9573957920074463
"(114.0391629, 22.63853355)",1.991173267364502
"(114.0392924, 22.58664928)",2.8722431659698486
"(114.0406, 22.5194424)",2.083832025527954
"(114.0409647, 22.54612907)",2.3904755115509033
"(114.0413582, 22.55723654)",2.4329581260681152
"(114.0413855, 22.628737)",2.307530164718628
"(114.0413882, 22.52028712)",1.9976894855499268
"(114.0415019, 22.64998348)",2.419713020324707
"(114.0417411, 22.54571917)",2.3967037200927734
"(114.0417761, 22.60685774)",2.326902151107788
"(114.041782, 22.54470908)",2.3551294803619385
"(114.0419996, 22.55773674)",2.424337863922119
"(114.0430627, 22.58486859)",2.8228211402893066
"(114.0430646, 22.60251323)",2.4613606929779053
"(114.0442841, 22.53432027)",2.5065295696258545
"(114.0452903, 22.63662499)",3.104093551635742
"(114.045876, 22.5143401)",1.8633519411087036
"(114.046373, 22.68957855)",2.124964714050293
"(114.0464934, 22.72022167)",2.6084234714508057
"(114.0468398, 22.51469163)",1.8627760410308838
"(114.0479733, 22.57137386)",2.4191172122955322
"(114.0486586, 22.69956665)",2.698805093765259
"(114.0486799, 22.54109032)",2.8720862865448
"(114.0487427, 22.54177583)",2.877908229827881
"(114.0489863, 22.65975291)",1.9742469787597656
"(114.049183, 22.57131673)",2.313413381576538
"(114.0497216, 22.51951151)",2.2339775562286377
"(114.0509822, 22.6227766)",2.5917131900787354
"(114.0509963, 22.72573809)",2.1133105754852295
"(114.0514231, 22.58979683)",2.658482551574707
"(114.0514251, 22.58965066)",2.6587204933166504
"(114.0515208, 22.7167044)",2.514307975769043
"(114.0516123, 22.51876998)",2.1969735622406006
"(114.0521102, 22.5808111)",2.4210362434387207
"(114.0530941, 22.50982578)",2.2652621269226074
"(114.0538225, 22.55148272)",2.683854341506958
"(114.0540381, 22.64435626)",2.044388771057129
"(114.0541752, 22.70541753)",2.9839744567871094
"(114.0548507, 22.52616471)",2.3417484760284424
"(114.0548562, 22.57462491)",2.6309268474578857
"(114.0560063, 22.68438607)",2.312122344970703
"(114.057181, 22.56515233)",2.0097498893737793
"(114.0577737, 22.52965924)",2.488816738128662
"(114.0579903, 22.5615864)",1.9241690635681152
"(114.0585478, 22.52980878)",2.48331356048584
"(114.0586881, 22.5254791)",2.4860033988952637
"(114.0588198, 22.53132747)",2.6047890186309814
"(114.0589339, 22.54367903)",2.8766605854034424
"(114.0599781, 22.71701367)",2.3454699516296387
"(114.0610243, 22.54452956)",2.8854613304138184
"(114.0616718, 22.71514949)",2.4770143032073975
"(114.0623859, 22.53116057)",2.55330228805542
"(114.0631754, 22.6807001)",3.216731548309326
"(114.0634154, 22.68906204)",3.006392002105713
