who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen,stime,etime
36384703,20190112,5,1,6,2,123,32,126,37,114.0516123,22.51876998,114.0585478,22.52980878,20190706,117,78,147,39,41.97618372,5.830951895,TRUE,41.97618372,21.09502311,0,0.957168232,0,0.30722302,0,0,0,0,0.405851079,0.044179975,0,0,0.185311777,1990.532,2019/1/12 18:09,2019/1/12 18:11
36384703,20190112,6,4,2,0,126,37,116,78,114.0585478,22.52980878,114.0338301,22.62154859,20190706,117,78,147,39,1,42.20189569,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11897.829,2019/1/12 20:48,2019/1/12 21:00
36384703,20190114,1,2,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/14 7:58,2019/1/14 8:19
36384703,20190114,2,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/14 10:37,2019/1/14 11:10
36384703,20190114,3,1,0,9,116,78,118,86,114.0338301,22.62154859,114.0391629,22.63853355,20190706,117,78,147,39,8.062257748,8.246211251,FALSE,8.062257748,55.22680509,0,0.424136589,0.416677342,0,0.189873623,0,0.008814866,0.017645671,0.60340297,0.746177874,0,0,0.116662294,2457.427,2019/1/14 15:10,2019/1/14 15:12
36384703,20190114,4,1,9,0,118,86,116,78,114.0391629,22.63853355,114.0338301,22.62154859,20190706,117,78,147,39,1,8.246211251,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,2457.427,2019/1/14 16:48,2019/1/14 16:50
36384703,20190115,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/15 8:28,2019/1/15 9:15
36384703,20190115,2,1,1,4,119,43,124,60,114.041782,22.54470908,114.0521102,22.5808111,20190706,117,78,147,39,19.31320792,17.72004515,FALSE,19.31320792,31.144823,0.175872737,0.765085833,0.774322169,0,0,0,0,0.00527131,0,2.76E-06,0,0,0.231347969,5599.659,2019/1/15 11:21,2019/1/15 11:27
36384703,20190115,3,1,4,0,124,60,116,78,114.0521102,22.5808111,114.0338301,22.62154859,20190706,117,78,147,39,1,19.6977156,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8178.378,2019/1/15 12:50,2019/1/15 12:54
36384703,20190116,1,1,0,7,116,78,129,48,114.0338301,22.62154859,114.0643988,22.55403194,20190706,117,78,147,39,32.31098884,32.69556545,FALSE,32.31098884,20.1246118,0,0.265583936,0,0,0,0,0,0.074001991,1.96630037,0.777020052,0,0,0.002856882,8885.289,2019/1/16 13:35,2019/1/16 13:43
36384703,20190116,2,1,7,1,129,48,119,43,114.0643988,22.55403194,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,11.18033989,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,3314.763,2019/1/16 14:48,2019/1/16 14:50
