fnid,LU_Business,LU_Green,LU_Industry,LU_Public,LU_Residence,subway,density,intersections,road_density,rent
20751,0.075063821373687,0.00183646876417,0.369761332103776,0.000206120089429,1.445475796882684,1.0,49.72270863444445,31.012345678888884,35.05599999888889,3.929630634555556
14019,1.800870951611482,0.200448096116333,0.015963885413915,0.029536100075625,0.324347654418475,1.0,4.469299099444445,46.024691357777776,39.90439506222222,8.597921817555555
25497,0.395467825699216,0.279427485224969,0.120355115005535,0.133246358411025,0.574442662808685,1.0,44.89752248222222,85.53086419222223,30.959604938888887,2.578233797777778
22892,0.013095842230441,0.485244101228018,1.380476649997775,0.025036634247851,0.028621215876495,0.333333333333333,18.94241372388889,20.148148147222223,30.20325926,3.371827137777778
18971,0.339678220064271,0.040221142045458,0.070388317461817,0.730451497937127,0.980058463411201,1.0,32.11532825111111,52.74074073888889,32.371753085555554,7.803842557777778
21829,0.47662828209435,0.169237523266973,0.043392268645326,0.512706855850143,1.010124816036188,0.0,41.87223300111111,32.39506173,38.34429629777778,2.809591574666667
20762,0.219927104705841,0.066279870767937,0.173597644514181,0.200158341635125,1.342077107647066,0.222222222222222,40.90294777888889,46.22222222222222,41.49116049333333,3.954098768444444
20038,0.262877740472726,0.01624173977128,0.260146321129924,0.018125700674494,1.559532104002661,1.0,69.42750913111111,50.17283950555556,36.31604938222223,3.262862650444445
12946,1.132818606103072,0.003538666438602,0.0,0.0,0.005303005015536,1.0,0.017459748333333,13.234567901111111,18.028246913333334,15.225457688888888
18260,0.013001740289764,0.091680461611951,8.0140132102e-05,1.592721054755111,0.611858636593028,1.0,8.716491936444445,46.81481481555555,29.26162963,10.47463475888889
19682,0.251696411771241,0.077720677180632,0.16467057832811,0.113853385747944,1.42599995250264,1.0,74.5483797211111,57.4814814811111,35.69758024777778,3.156039088111111
26531,0.437367948768667,0.337324165986866,0.081926835494252,0.016461857978333,0.083357425905506,1.0,3.841072678111111,104.69135802111111,38.198320985555554,5.227224531666667
25096,0.054325855220074,0.466062349862358,0.00753798521562,0.021496937452455,0.12779176180606,1.0,0.087308641888889,41.87654320888889,28.19930864111112,8.918644687666667
21472,0.562679169058665,0.276876294210491,0.075474479513048,0.403041055951945,0.889200837526915,0.0,50.33558443333334,21.728395062666667,31.40523457,2.494466568555556
15798,0.522779985803466,0.23903906733947,0.009409692619972,0.230736578672941,1.199371071693145,1.0,71.03192234777777,13.432098766111112,17.148444445777777,20.89339288677778
15441,0.730906578004046,0.237838390254201,0.002070944864035,0.216856775116905,1.145559346938397,1.0,69.92420509333334,27.45679012388889,23.52869135888889,13.242474728555557
13303,1.221552504628651,0.006728013430031,0.0,0.0,0.054532710332333,1.0,0.056149911666667,10.666666666333334,18.177777777777777,12.731789969777775
16509,0.393877416238595,0.060502773640002,0.148325995366763,0.147996526166278,1.291830763637597,0.888888888888889,28.01775312877778,21.925925927,21.344000001111112,15.947722757111112
19681,0.186884007278405,0.022092931445365,0.207230850147849,0.083134695697701,1.545887313036503,1.0,67.13493525333334,43.65432098777777,35.47911111,3.303505655111111
21828,0.385066263413964,0.148267343025046,0.023873918344717,0.439654199154531,1.12265951955177,0.0,52.59952141888888,29.234567902888884,34.029827161111115,2.901496923444444
15797,0.5216499318408,0.196226796341315,0.05878951922846,0.270545422813531,1.21920787086698,1.0,82.83147996888889,16.000000000777778,20.291160493555555,13.144425823888888
21477,0.458897624933051,0.126292021112006,0.24877495149579,0.313267083350558,1.06627554161122,0.111111111111111,59.04633787,40.49382716,33.85185185,3.571516967777777
14372,0.856924410398229,0.27612827637458,0.0,0.05250180828825,0.944951048996271,1.0,7.191948099555556,46.22222222111111,37.17037037111111,11.174883237666668
